Viewname,X,Y,Z,nX,nY,nZ,EML,Lux,M/P,390,410,430,450,470,490,510,530,550,570,590,610,630,650,670,690,710,730,750,770
L1,5.04703145254,0.353925395362,1.04139999509,0.630651175976,0.593529343605,0.500001966953,158.5,189.9,0.834547,0.000123524103464,0.000794837293442,0.00132447119491,0.00188225319902,0.00217354699328,0.00228487019704,0.00237230294798,0.00250354762491,0.00281242069372,0.00274348517509,0.00277741314133,0.00280764478333,0.00277277719224,0.0027276138322,0.00252515684301,0.00218780931947,0.00106396525425,0.000615788967188,0.000210813654816,0.000110551431545
L2,7.66664457321,-0.376248240471,1.04139998555,0.630653321743,0.593528628349,0.500000178814,409.0,477.1,0.857404,0.000429309032056,0.00221594934742,0.00340265339941,0.00485170321034,0.00562925824326,0.00591856687482,0.0061328519401,0.00644411027255,0.00715573007276,0.00687539942064,0.00684752505001,0.00683610205423,0.00666375800909,0.00643294943506,0.00584449450711,0.00491188226522,0.00275290806998,0.00167292908912,0.000790655612994,0.000466594286472
L3,10.3024735401,-1.09727578803,1.04139998220,0.630650937557,0.593529284,0.500002384186,1374.1,1548.4,0.887432,0.00207885146178,0.0086051214431,0.0118781747109,0.0166856442273,0.0191706701266,0.0199018753583,0.0203981652282,0.0212280345673,0.0232920913116,0.0221257183888,0.0218541611573,0.02175723257,0.0211890585736,0.0203606577516,0.018475490935,0.0153808086615,0.0101852824294,0.00660066022268,0.00382385537471,0.0024370923821
cL1,6.71534275768,6.09571763121,1.04140000289,0.227346614003,-0.835650920868,0.500001072884,405.8,661.5,0.613390,0.000322014964385,0.00159671504429,0.00256223178538,0.00389494064517,0.0048722161546,0.00560539537898,0.00641467048856,0.00752696505451,0.00931953131809,0.00973422051703,0.0106930781953,0.0117556967257,0.0124983906273,0.0132387256426,0.0131840352241,0.0119941972501,0.00866131752221,0.0060038883633,0.00394078550911,0.00271269395703
cL2,9.32217595494,5.30242099146,1.04139995992,0.227340534329,-0.835653960705,0.499998778105,889.6,1287.2,0.691104,0.000846938158586,0.00392433709499,0.00600717368579,0.00906600217936,0.0111855783437,0.0125588474515,0.0139311960446,0.0157366678172,0.0187052471077,0.0188900800078,0.0199515400893,0.0211687426518,0.0217923240992,0.0222714633261,0.0214144070418,0.0188013014751,0.0132759424303,0.0090044181283,0.00582285648928,0.00392866189933
cL3,11.9229479083,4.50213537832,1.04140001119,0.227342709899,-0.835651993752,0.500001072884,1805.1,2138.5,0.844101,0.0024713869393,0.0102506271331,0.0144051405538,0.0208289166019,0.0245535647117,0.0261163403506,0.0273368912182,0.0289710966477,0.032231406977,0.0308765879991,0.0306816068277,0.0306852479749,0.0299140267294,0.0286976402489,0.025871528648,0.021266976109,0.0141946527464,0.00915381605571,0.00545235361281,0.00346383237016
cR1,6.71646952629,8.73287105560,1.04139998555,0.220778331161,0.837412059307,0.499997973442,201.1,217.7,0.923715,0.000261311946189,0.00124095601474,0.00184863745415,0.00254320700661,0.00285836541468,0.00291721349137,0.00293839313593,0.00300757627842,0.00327016495096,0.00309138403155,0.00304031053622,0.00300019843352,0.00290035622874,0.00279537663659,0.00254633702589,0.00216519910888,0.00115064033006,0.000690350257417,0.000294789260581,0.000165546080792
cR2,9.31787894585,9.51737115780,1.04140006088,0.220778241754,0.837411701679,0.499998569489,424.7,448.7,0.946728,0.000620633781611,0.00277007405495,0.00396520445043,0.0054297089502,0.00608093329381,0.00617167720626,0.00618138729099,0.00628862456667,0.00677804556638,0.00634598447787,0.00617969537413,0.00605062574972,0.00580565524483,0.00554110092341,0.00500600355163,0.0042063397464,0.00237285660261,0.00144422774021,0.00064344626321,0.000363415686786
cR3,11.9296364784,10.2839703560,1.04139998555,0.220777571201,0.837409198284,0.500003099442,1089.8,1093.6,0.996561,0.00197375990058,0.00790080923798,0.0105529586258,0.0142919549226,0.0158536065646,0.0158764934679,0.0156912934386,0.015736271619,0.0166530806146,0.0153365313642,0.0146572603899,0.0141246591741,0.0133555448846,0.0124752259546,0.011050469389,0.00903970775655,0.0055814646873,0.00347692494282,0.00169933776881,0.000988171160623
R1,5.07442509303,14.4362595335,1.04140007032,0.630417943001,-0.593777954578,0.500000953674,155.7,184.5,0.843496,0.000134948318861,0.000823196414664,0.00133001837285,0.00187166566457,0.0021454478771,0.00224091588734,0.00231631331179,0.00244088075782,0.00273805871378,0.0026576277963,0.00268259231755,0.00271560595965,0.00268277076821,0.00265058693516,0.00246862243436,0.00213338953774,0.00116888320961,0.000715297956395,0.000370321969746,0.000235375383578
R2,7.69097402449,15.1890108702,1.04140005925,0.630418598652,-0.593775868416,0.500002622604,449.0,546.6,0.821485,0.000467703513463,0.00235541500153,0.00358788545839,0.00516752374304,0.0060705336305,0.00646609980859,0.00679748134691,0.00725777316906,0.00817417573852,0.00791442639639,0.00796403137463,0.00804818310959,0.00792288759562,0.00773862153881,0.00710835747733,0.00599607152439,0.00368717562347,0.00233122215155,0.00133497138812,0.000853099955062
R3,10.2893643058,15.9183362207,1.04140001206,0.630418598652,-0.593778550625,0.499999403954,1926.6,2482.6,0.776016,0.00243661220716,0.0102166380683,0.0145087129965,0.0212478552414,0.0254476547575,0.0275908262447,0.0295340231718,0.0321395471423,0.0367587913118,0.0360574086045,0.0368932015366,0.038016858269,0.038184385492,0.0379187518536,0.0355360850401,0.0304106481999,0.0216083524995,0.014512635143,0.00921953327179,0.00612253356201
