Viewname,X,Y,Z,nX,nY,nZ,EML,Lux,M/P,390,410,430,450,470,490,510,530,550,570,590,610,630,650,670,690,710,730,750,770
L1,5.04703145254,0.353925395362,1.04139999509,0.630651175976,0.593529343605,0.500001966953,753.0,861.6,0.874042,0.000484128666118,0.00365012997566,0.00670046484332,0.00922394201771,0.0104741480853,0.0108347974811,0.0111345332788,0.0116601009406,0.0128807914096,0.0130516542692,0.0125101296014,0.0119576432829,0.0109960216756,0.00965035408314,0.00821388676166,0.00664342415281,0.00241890666089,0.00116447905577,0.000383665581665,0.000202638512371
L2,7.66664457321,-0.376248240471,1.04139998555,0.630653321743,0.593528628349,0.500000178814,2099.2,2350.3,0.893132,0.00220755107986,0.0116861700251,0.0187634908371,0.0258620975703,0.0293915240034,0.0302468253161,0.0309412560878,0.0322808440554,0.0353712836303,0.0354052890206,0.0336348514401,0.0320173497025,0.0292929125511,0.0254998937066,0.0215474012524,0.0171037837709,0.00766852495345,0.00410540338064,0.0019160015566,0.00113252837217
L3,10.3024735401,-1.09727578803,1.04139998220,0.630650937557,0.593529284,0.500002384186,6417.8,6935.1,0.925407,0.00992291482543,0.0418861981436,0.0591600233335,0.0806599562503,0.0909541726753,0.0925486869363,0.093774083408,0.0969655939345,0.104938769665,0.103567365744,0.0973790277207,0.0921571860964,0.0837591760769,0.0721639134843,0.0603862299932,0.0470050912379,0.0267490733753,0.0158870100142,0.00757108136147,0.00435559071735
cL1,6.71534275768,6.09571763121,1.04140000289,0.227346614003,-0.835650920868,0.500001072884,1138.2,1287.7,0.883908,0.00118424296079,0.00622693046017,0.0101201811329,0.0139491030401,0.0158724523507,0.0163860327668,0.0168114955941,0.0175878566261,0.0193473518462,0.019421377951,0.0185268854018,0.0176978058876,0.016234421517,0.0141871809599,0.0120189185721,0.00957459025365,0.00434223386816,0.00237198267043,0.00109421976243,0.000644859353329
cL2,9.32217595494,5.30242099146,1.04139995992,0.227340534329,-0.835653960705,0.499998778105,2353.7,2620.2,0.898262,0.00275990960079,0.0136204914351,0.0212836818472,0.0291666550413,0.0330269596766,0.0338948606986,0.0346012642484,0.0360425179483,0.0394459087088,0.0393930728778,0.037409813059,0.0356261938486,0.0325940235082,0.0283941954503,0.0240117182266,0.0190503954433,0.00885457747474,0.00483793187607,0.00232522606257,0.00138397338908
cL3,11.9229479083,4.50213537832,1.04140001119,0.227342709899,-0.835651993752,0.500001072884,14020.1,16719.0,0.838574,0.0252368976837,0.0826790475974,0.122009115499,0.165718628849,0.190082499143,0.199574391548,0.209687170874,0.22497060852,0.250863985133,0.253665743797,0.244143642955,0.237225306264,0.221685720613,0.195429984206,0.167380915979,0.132629355428,0.0877382536282,0.0557786330349,0.0338436645339,0.0215034871344
cR1,6.71646952629,8.73287105560,1.04139998555,0.220778331161,0.837412059307,0.499997973442,1088.5,1225.1,0.888523,0.00110836971976,0.00595931403475,0.00976081935726,0.0134018990187,0.0152088923133,0.0156740029116,0.0160509525181,0.0167586388655,0.0184032127775,0.0184615238074,0.0175955453744,0.0167779017279,0.0153811842545,0.0134706862294,0.0114687599366,0.00921468192266,0.00405066987725,0.00218027274154,0.000969279913256,0.000561909425648
cR2,9.31787894585,9.51737115780,1.04140006088,0.220778241754,0.837411701679,0.499998569489,2157.7,2394.1,0.901243,0.0024866994221,0.012519752995,0.0196576731357,0.0268230753675,0.0303034259492,0.0310692882951,0.0316877414377,0.0329676230516,0.0360351555257,0.0359733433263,0.0341426560518,0.0324668368542,0.0296988906788,0.0259577736986,0.0221029346171,0.017737710861,0.00808613345833,0.00437063385066,0.0019780054523,0.00115584438486
cR3,11.9296364784,10.2839703560,1.04139998555,0.220777571201,0.837409198284,0.500003099442,12501.2,14836.1,0.842618,0.0221118675827,0.073965308605,0.109277615694,0.148262627103,0.169841302577,0.178059733786,0.186769871943,0.199989284958,0.222670137598,0.224924234902,0.216281586691,0.2098500701,0.195889720879,0.172725931897,0.148130875104,0.117740685095,0.0771181101498,0.0488564736715,0.0289214574338,0.0182217419208
R1,5.07442509303,14.4362595335,1.04140007032,0.630417943001,-0.593777954578,0.500000953674,766.3,872.7,0.878037,0.000526658260826,0.00378962457475,0.00683288998958,0.00939736565007,0.0106691711043,0.0110299523164,0.0113261154102,0.011849355389,0.0130628522246,0.0132020028153,0.0126351734367,0.0120566341089,0.0110783803389,0.00974188764311,0.00834197442828,0.0067936754442,0.00256219338986,0.00126170191574,0.000444026470578,0.000241748255255
R2,7.69097402449,15.1890108702,1.04140005925,0.630418598652,-0.593775868416,0.500002622604,2227.2,2487.4,0.895391,0.00246647807835,0.0126065009803,0.0198868598854,0.0274233266081,0.0311896108565,0.0320990950984,0.0328412562307,0.0342529702194,0.0374800904369,0.0374369736468,0.0355099608076,0.0337633080316,0.030868352029,0.0269018275689,0.0228293404865,0.0182079365747,0.00843546353127,0.0045881202962,0.00220295941178,0.00130959453497
R3,10.2893643058,15.9183362207,1.04140001206,0.630418598652,-0.593778550625,0.499999403954,7084.6,7684.8,0.921893,0.010929113651,0.0459709184216,0.064871462845,0.08863199386,0.100190335029,0.102170505202,0.103734997497,0.107423018229,0.116314471313,0.114816819527,0.107994908067,0.102217078151,0.0929584748766,0.0802265121068,0.0673911989281,0.0527237324204,0.0304828729434,0.0182144020034,0.00859341562734,0.00490880122168
