Viewname,X,Y,Z,nX,nY,nZ,EML,Lux,M/P,390,410,430,450,470,490,510,530,550,570,590,610,630,650,670,690,710,730,750,770
L1,5.04703145254,0.353925395362,1.04139999509,0.630651175976,0.593529343605,0.500001966953,138.8,142.5,0.973709,0.000149306392065,0.000879887008191,0.00135537664143,0.00183626178781,0.00201764160531,0.00200954607502,0.00198974102483,0.00200925633944,0.00215316959037,0.00203196052835,0.00195878554888,0.00188799213214,0.00177144367376,0.00163721586912,0.00143553800521,0.00116487951408,0.000647133826064,0.000390481661946,9.34637368278e-05,3.1826788024e-05
L2,7.66664457321,-0.376248240471,1.04139998555,0.630653321743,0.593528628349,0.500000178814,312.7,304.6,1.026664,0.000466056065864,0.00222904312239,0.00317698073846,0.00424536251464,0.00461657555111,0.00453947303084,0.00443044534379,0.00440494657568,0.00463961990868,0.00429053273617,0.00405950994404,0.00385979820662,0.00357724527426,0.00326322285593,0.00282632530052,0.00225943033455,0.00129666946451,0.000783328712371,0.000259950660339,0.000119429552304
L3,10.3024735401,-1.09727578803,1.04139998220,0.630650937557,0.593529284,0.500002384186,993.3,882.4,1.125605,0.00218370861123,0.00846427414551,0.0108647411343,0.0141432324818,0.0150658014879,0.0144628865956,0.0137487193564,0.01329231209,0.0135719814211,0.0121588318886,0.0111538766042,0.0103458365677,0.00937775653462,0.00834009971949,0.00704839562224,0.00547937268166,0.00334016057716,0.00202868301408,0.000944640934674,0.000528953042038
cL1,6.71534275768,6.09571763121,1.04140000289,0.227346614003,-0.835650920868,0.500001072884,178.2,171.3,1.040124,0.000282835313114,0.00128829209473,0.00183652325029,0.00243614534564,0.00263907333895,0.00258950448567,0.00251728913589,0.00249005246378,0.00261231960191,0.00240360581209,0.00226733661338,0.00215143066751,0.00198910971967,0.00181479384647,0.00156799059045,0.00125285953557,0.000691859383094,0.000412534455237,0.000189973024353,0.000110691772172
cL2,9.32217595494,5.30242099146,1.04139995992,0.227340534329,-0.835653960705,0.499998778105,397.1,374.2,1.061043,0.000712677234225,0.00303160989472,0.00414367640861,0.00547277409727,0.00591342840869,0.00577543174919,0.00558677734008,0.0054975189161,0.0057270602998,0.00522469625943,0.00488924741792,0.0046135531315,0.00424603113519,0.00384936798072,0.0033076088174,0.00261882776333,0.00151892657753,0.000917524232192,0.000473182096356,0.000283398387137
cL3,11.9229479083,4.50213537832,1.04140001119,0.227342709899,-0.835651993752,0.500001072884,1016.8,930.6,1.092643,0.00218562838003,0.00843764954775,0.0108675358409,0.0142297257459,0.0152757233796,0.014794560087,0.0141935983308,0.0138514011339,0.0142772276065,0.0129000822082,0.0119555834668,0.0111992144266,0.0102469388004,0.00919651528077,0.00783431947385,0.00612111137665,0.00380174818819,0.0023366963803,0.00125256266804,0.000753219073262
cR1,6.71646952629,8.73287105560,1.04139998555,0.220778331161,0.837412059307,0.499997973442,194.3,184.1,1.055507,0.000320345053463,0.00143733245542,0.00202366453924,0.00267591573231,0.00289000523136,0.00282552117287,0.00273580706806,0.00269487781117,0.00281332400572,0.00257490894476,0.00241590919439,0.00228056307412,0.00209847566504,0.00190791906231,0.00164680019451,0.00131603691847,0.000730348302323,0.000435085912104,0.00018531382163,0.000103732411273
cR2,9.31787894585,9.51737115780,1.04140006088,0.220778241754,0.837411701679,0.499998569489,401.7,370.2,1.085200,0.000736338696726,0.00312565182117,0.00426304135147,0.00560460722148,0.00602177193772,0.00584945988848,0.00562073307564,0.00549432634848,0.00568152227328,0.0051440909316,0.00477425436197,0.00447027322343,0.00408296591715,0.00368039597769,0.00315067529558,0.00249062658596,0.00141992450543,0.000847757752944,0.000403753302326,0.000232390789787
cR3,11.9296364784,10.2839703560,1.04139998555,0.220777571201,0.837409198284,0.500003099442,971.6,856.9,1.133933,0.00215956160285,0.00834106202366,0.0106946797255,0.0138817832518,0.0147617245775,0.0141546110027,0.0134263449122,0.0129544154605,0.0131871932224,0.0117821027962,0.0107805789999,0.00997401120216,0.00902246303511,0.00801856990225,0.00678606355836,0.00528503614406,0.00320365806172,0.00193939682642,0.000965143260582,0.000558892533136
R1,5.07442509303,14.4362595335,1.04140007032,0.630417943001,-0.593777954578,0.500000953674,139.9,145.2,0.963536,0.000144563882406,0.000870472385065,0.00135278392196,0.00183815060903,0.00202582119076,0.00202398242056,0.00201109307194,0.00203842182265,0.00219152217469,0.00207397269582,0.00200430931149,0.00193582868508,0.00181938262116,0.00168649575096,0.00148448739747,0.0012095112732,0.000679066825259,0.000412368318949,9.62477534117e-05,3.08233398104e-05
R2,7.69097402449,15.1890108702,1.04140005925,0.630418598652,-0.593775868416,0.500002622604,314.4,303.5,1.035887,0.000468317117699,0.00225764301629,0.00322254168911,0.00429113640501,0.00465416552593,0.00456724689181,0.00444427980348,0.00440629349587,0.00462517821417,0.00426735185265,0.00402747168486,0.00381874312172,0.00353338300188,0.0032233486186,0.00279654175721,0.00224325761327,0.00128265568716,0.000775407596525,0.000266129128151,0.000126667815532
R3,10.2893643058,15.9183362207,1.04140001206,0.630418598652,-0.593778550625,0.499999403954,957.0,853.8,1.120902,0.00208655447898,0.00813472597588,0.0104602616146,0.0136045092379,0.0144965453362,0.0139299198562,0.0132562814657,0.0128332996233,0.0131159297336,0.0117727069581,0.0108225729554,0.0100556771532,0.00913627880945,0.00815269849633,0.00692781315319,0.00541696554964,0.00331539436247,0.00202227431792,0.000959210749615,0.000544166324664
