Viewname,X,Y,Z,nX,nY,nZ,EML,Lux,M/P,390,410,430,450,470,490,510,530,550,570,590,610,630,650,670,690,710,730,750,770
L1,5.04703145254,0.353925395362,1.04139999509,0.630651175976,0.593529343605,0.500001966953,269.9,342.0,0.789177,0.000203656283147,0.00124938594604,0.00207669402756,0.00302537650252,0.00358709945922,0.0038663868634,0.0041180858203,0.00446350797088,0.00510043201548,0.00509563939504,0.00510078827475,0.00510478060263,0.00493075410853,0.00465709814258,0.00417553689608,0.00346312083836,0.00192498100035,0.00117457815327,0.000619212408796,0.000388426481311
L2,7.66664457321,-0.376248240471,1.04139998555,0.630653321743,0.593528628349,0.500000178814,897.6,1152.0,0.779151,0.000810829154392,0.0041206828987,0.00646546142626,0.00967756802453,0.0117672299687,0.0128874782864,0.0138884031838,0.0151693844016,0.0173132231725,0.0172044008613,0.017120887653,0.0170753373047,0.016423715679,0.0153419759295,0.013610416106,0.0110568728274,0.00689351745626,0.00433620386639,0.00250766268555,0.00157961981499
L3,10.3024735401,-1.09727578803,1.04139998220,0.630650937557,0.593529284,0.500002384186,3210.5,3929.7,0.816982,0.00399955911796,0.0169202529211,0.0242411702866,0.0357558922682,0.0429372497339,0.0463012808511,0.0491757918819,0.0529159978306,0.0594165656881,0.0582709057982,0.0572151836985,0.0565140336946,0.0538737911298,0.0496960336701,0.0436112080609,0.0348762583591,0.0233343510553,0.0149336511817,0.00897178148702,0.00566292647008
cL1,6.71534275768,6.09571763121,1.04140000289,0.227346614003,-0.835650920868,0.500001072884,330.9,385.2,0.859072,0.000374143071399,0.0018220893931,0.00278453213388,0.00393566082186,0.00455221335014,0.00477354130412,0.00494814249962,0.00521564634072,0.00579820450682,0.0056640377448,0.0055532442912,0.00545205593685,0.00517009877261,0.00479624975411,0.00422720799298,0.00345760060703,0.00186934597304,0.00111443031004,0.000545979385231,0.000327249378457
cL2,9.32217595494,5.30242099146,1.04139995992,0.227340534329,-0.835653960705,0.499998778105,691.2,780.1,0.886066,0.000899076649154,0.00409227469765,0.00598562070946,0.00838424681192,0.00961694516895,0.00998942713685,0.0102620683398,0.0107204671738,0.0117959316766,0.0114122924787,0.0110815552,0.0108019977219,0.0101743109994,0.00935803007542,0.00818678703709,0.00662146803292,0.00376570807498,0.00227671692296,0.00115919595459,0.000697462253861
cL3,11.9229479083,4.50213537832,1.04140001119,0.227342709899,-0.835651993752,0.500001072884,1761.1,1908.2,0.922881,0.00283274310737,0.011554262391,0.0157798435858,0.0218661323602,0.0248590739788,0.0255125527598,0.0259105511521,0.0267523016347,0.0290103038256,0.0277206087524,0.0265659649333,0.0256370790747,0.0239350256205,0.0217020640472,0.0187529887866,0.0148856082101,0.0092480329427,0.0057327596404,0.00306862883954,0.00185653712201
cR1,6.71646952629,8.73287105560,1.04139998555,0.220778331161,0.837412059307,0.499997973442,638.6,894.5,0.713873,0.000525103019347,0.00264661253599,0.00429523921427,0.00651655424726,0.00806874805647,0.00906007103189,0.0100212084816,0.0112491106437,0.0132189717722,0.0134695852702,0.0137784624488,0.0140839160434,0.0138669053004,0.0133297902473,0.0121733750611,0.0102685858588,0.00597625986823,0.00369355425485,0.00192395591099,0.00117878832754
cR2,9.31787894585,9.51737115780,1.04140006088,0.220778241754,0.837411701679,0.499998569489,1196.4,1554.1,0.769815,0.00121040008178,0.00566446628855,0.00866928202442,0.0128876919625,0.0156304021582,0.0171294871241,0.0184998278561,0.0202736399488,0.0232444879327,0.0232035383729,0.0232452870337,0.0233390821147,0.0225990795956,0.0213261052749,0.0191511873513,0.0158204166308,0.0096299420788,0.00601529905222,0.00338340137419,0.00211129546029
cR3,11.9296364784,10.2839703560,1.04139998555,0.220777571201,0.837409198284,0.500003099442,2323.6,2700.3,0.860482,0.00324115145884,0.0135750936157,0.019100470648,0.0272658360578,0.031860832293,0.0335707369547,0.0349342892995,0.0369027468379,0.040844736127,0.0396741627131,0.0386612806905,0.037874186813,0.0358771745187,0.0330390789833,0.0290396815125,0.0234690734546,0.0147403831129,0.00921923194298,0.00513560914253,0.00316660391009
R1,5.07442509303,14.4362595335,1.04140007032,0.630417943001,-0.593777954578,0.500000953674,284.9,379.4,0.750957,0.0001671564145,0.00119500130137,0.00213545714624,0.00311733488234,0.00372193902301,0.00405804441796,0.00437774321991,0.00480340830145,0.00556865637673,0.00568317804182,0.00580213567091,0.0058850022905,0.005777288871,0.00556021696414,0.00510184116583,0.00441336596892,0.00189134389035,0.00101074555925,0.000288161715202,0.000135604669785
R2,7.69097402449,15.1890108702,1.04140005925,0.630418598652,-0.593775868416,0.500002622604,753.1,938.4,0.802519,0.00069749626133,0.00365388992918,0.00577561282407,0.00843616693285,0.0100476113839,0.0108250850697,0.0115050231508,0.0124097119756,0.0140489382945,0.01394825474,0.0138635341425,0.0137809503062,0.0132498555183,0.0124296974451,0.0111236080911,0.00924062338548,0.00496800166985,0.00294860124115,0.00145390239474,0.000871395463249
R3,10.2893643058,15.9183362207,1.04140001206,0.630418598652,-0.593778550625,0.499999403954,2256.6,2613.6,0.863428,0.00316609831584,0.013268829005,0.0186319400706,0.026558657051,0.0309903364142,0.0326107862415,0.0338886457226,0.0357598861847,0.0395315223821,0.0383863422706,0.037370181233,0.03658548307,0.0346400358289,0.0318814945359,0.028008780794,0.022638966335,0.0141600784753,0.00884538927916,0.00486012024849,0.0029833468457
