Viewname,X,Y,Z,nX,nY,nZ,EML,Lux,M/P,390,410,430,450,470,490,510,530,550,570,590,610,630,650,670,690,710,730,750,770
L1,5.04703145254,0.353925395362,1.04139999509,0.630651175976,0.593529343605,0.500001966953,251.7,314.6,0.799884,0.000175230512386,0.00116014377616,0.0019862682934,0.00287029478847,0.00337513900155,0.00361215145033,0.00382003067885,0.00410395537742,0.00466697473323,0.00465306978923,0.00468470350042,0.00470028871216,0.00456777871877,0.00436209355085,0.00394512175597,0.00333803300798,0.00157964252861,0.000892923476342,0.000319883703014,0.000171028037108
L2,7.66664457321,-0.376248240471,1.04139998555,0.630653321743,0.593528628349,0.500000178814,707.7,867.6,0.815732,0.000667340611813,0.00349294810908,0.00548515197256,0.0080064451957,0.00950717632938,0.0101978615541,0.0107838369609,0.0115620845313,0.0130259940057,0.0128064830509,0.012711699439,0.0126338146585,0.0121544634093,0.0114259381666,0.0101755382745,0.00836321022932,0.0047087454123,0.00284767042039,0.00148335177478,0.000904643161732
L3,10.3024735401,-1.09727578803,1.04139998220,0.630650937557,0.593529284,0.500002384186,2233.4,2556.2,0.873723,0.00318761747936,0.0133243289427,0.0186319917084,0.0265169637445,0.0308338765469,0.0323139010516,0.033445370039,0.0351311972332,0.0386940835733,0.0372873167996,0.0363333870387,0.0356177794612,0.0338317422643,0.0312932928277,0.0274803146599,0.0221216358575,0.0140557164681,0.00883371821966,0.00494742307439,0.00306089348308
cL1,6.71534275768,6.09571763121,1.04140000289,0.227346614003,-0.835650920868,0.500001072884,505.5,673.3,0.750714,0.000458204642578,0.00228731788258,0.00362817129781,0.00540044413955,0.00654770812928,0.00721218166285,0.00783580963587,0.00863056510838,0.0100041995274,0.0100260099855,0.0101803255806,0.0103541206266,0.0101548680675,0.0097669185272,0.0088794428698,0.00742062178999,0.00446291787102,0.00280029876792,0.00156575045371,0.000988156474923
cL2,9.32217595494,5.30242099146,1.04139995992,0.227340534329,-0.835653960705,0.499998778105,1079.5,1371.2,0.787286,0.00114223132074,0.00532529732137,0.00805902932037,0.0118736362795,0.0142590939389,0.0154871258737,0.0165954936077,0.0180223012164,0.020544402522,0.0203035414831,0.020321132818,0.020410719255,0.0197936530674,0.01877595666,0.0168568286605,0.0138761987993,0.00868895392679,0.00549592996744,0.00316324218488,0.00199367288369
cL3,11.9229479083,4.50213537832,1.04140001119,0.227342709899,-0.835651993752,0.500001072884,2289.3,2619.4,0.874008,0.00331348288796,0.0137211207706,0.0191163283994,0.0271871477603,0.0316050864179,0.0331195806926,0.0342814596123,0.0360066614044,0.0396630638712,0.0382028432158,0.0372174254316,0.0364895062507,0.0346524238796,0.0320602738629,0.0281617049931,0.0226605161761,0.0145404241778,0.00917169582029,0.00521316761593,0.00323802502599
cR1,6.71646952629,8.73287105560,1.04139998555,0.220778331161,0.837412059307,0.499997973442,329.2,381.9,0.861964,0.000372944409406,0.00181824953205,0.00278119154988,0.00392682650546,0.00453497707582,0.00475317246839,0.00492053199175,0.00517546454456,0.00574716107495,0.00558366471052,0.00549256360444,0.00541059664747,0.00516120752133,0.00484106261196,0.00430791462871,0.00355357663697,0.00192542147639,0.00115222126519,0.000577367858939,0.00035057268852
cR2,9.31787894585,9.51737115780,1.04140006088,0.220778241754,0.837411701679,0.499998569489,711.2,803.5,0.885076,0.000909896183744,0.00417887977866,0.00614475370094,0.00861666162126,0.00988886808639,0.0102843390101,0.0105714530608,0.0110353458468,0.0121426364612,0.0116959911865,0.0114069812499,0.0111616709009,0.0105846795846,0.00985207119409,0.00871298272675,0.00712173566694,0.00402291839523,0.00242767535764,0.00125499828957,0.00076070977583
cR3,11.9296364784,10.2839703560,1.04139998555,0.220777571201,0.837409198284,0.500003099442,1802.2,1946.9,0.925661,0.00289741217307,0.0118412498472,0.0161656626655,0.022403878103,0.0254631056443,0.0261320114911,0.0265168374816,0.0273267498433,0.0295967158049,0.0281234143137,0.0270347639874,0.0261521028313,0.0245592828272,0.0225229323569,0.0196653136346,0.0157912572487,0.00983868344233,0.00611167962151,0.00327579244287,0.00198575413633
R1,5.07442509303,14.4362595335,1.04140007032,0.630417943001,-0.593777954578,0.500000953674,258.2,318.4,0.810971,0.000193099944325,0.00123450132985,0.00206002646257,0.00296706194192,0.0034779886271,0.00370821905878,0.00390949619483,0.00419196158572,0.0047496176823,0.00470378182369,0.0047005660049,0.0046972326645,0.0045450115765,0.00432909814292,0.00391204014933,0.00327670954855,0.00174666442013,0.00104839516613,0.000536856955761,0.000335498386219
R2,7.69097402449,15.1890108702,1.04140005925,0.630418598652,-0.593775868416,0.500002622604,895.6,1149.0,0.779420,0.000826561156187,0.0041557027676,0.00647845827386,0.00968293427769,0.0117485126654,0.0128576943094,0.0138546233845,0.0151098212666,0.0172489565313,0.0170671321366,0.0170596748558,0.0170949313408,0.0165518998867,0.0156455828918,0.0140170567125,0.0114977846669,0.00724130759871,0.00458954352792,0.00269195962025,0.00171776709295
R3,10.2893643058,15.9183362207,1.04140001206,0.630418598652,-0.593778550625,0.499999403954,2913.7,3543.0,0.822387,0.0036689498419,0.0155846105403,0.0222871334888,0.0327101897704,0.039099799274,0.0420429174006,0.0445291386768,0.047754188248,0.0535296433805,0.0522022551745,0.0514340251079,0.0509609588371,0.0488461524895,0.0455538727837,0.0402959129205,0.0325269434613,0.0216599410172,0.0138697428805,0.00828632195445,0.00523885920108
