Viewname,X,Y,Z,nX,nY,nZ,EML,Lux,M/P,390,410,430,450,470,490,510,530,550,570,590,610,630,650,670,690,710,730,750,770
L1,5.04703145254,0.353925395362,1.04139999509,0.630651175976,0.593529343605,0.500001966953,623.2,658.5,0.946394,0.00050858693663,0.00356847261032,0.00617023086548,0.00816940027988,0.0089611266735,0.00896411869861,0.00895275760302,0.0091441490287,0.00987782010203,0.0098969833958,0.00928857676825,0.00870276978426,0.00784611823736,0.00672438473208,0.00562052848726,0.00447621110477,0.00164794490312,0.000800808891887,0.000239414973985,0.000122853424473
L2,7.66664457321,-0.376248240471,1.04139998555,0.630653321743,0.593528628349,0.500000178814,1544.8,1611.6,0.958520,0.00174772446149,0.00972160270857,0.0154394630268,0.0203578649852,0.0222911417652,0.0222127886899,0.0221221521869,0.022550465419,0.0242525457311,0.0241251506768,0.0225333445854,0.0210894656489,0.0189878629111,0.0162259162897,0.0135417408217,0.0106916932147,0.00439594170009,0.00224337599566,0.000871457502537,0.000480640391906
L3,10.3024735401,-1.09727578803,1.04139998220,0.630650937557,0.593529284,0.500002384186,4566.2,4610.5,0.990387,0.00789364807913,0.0336406361796,0.0467665922921,0.0611279946305,0.0665567249916,0.0656852810159,0.0648539695926,0.0655858153515,0.0697461850606,0.0684136295244,0.0632482317723,0.0588621795215,0.0526697381549,0.0446289204229,0.0369760354087,0.0287373240609,0.0146165034743,0.00821827527881,0.00378820227622,0.00218880522007
cL1,6.71534275768,6.09571763121,1.04140000289,0.227346614003,-0.835650920868,0.500001072884,1024.0,1070.7,0.956407,0.00139888362674,0.00667240662687,0.0101053946069,0.0134112698939,0.0147563224202,0.0147356383894,0.0146951245777,0.0150051815109,0.0161422556844,0.0160068312529,0.0149502945123,0.0140149896126,0.0126125002373,0.0107741111442,0.00896788040875,0.00701564816432,0.00324066239758,0.0017842619255,0.000878482938744,0.000526211173885
cL2,9.32217595494,5.30242099146,1.04139995992,0.227340534329,-0.835653960705,0.499998778105,2248.5,2334.8,0.963061,0.0033187327534,0.0151783807073,0.0223478848943,0.0295617212187,0.0324683213253,0.032349096112,0.0322089360394,0.0328366894238,0.0352392619383,0.0348461033888,0.0324660739023,0.0304027705193,0.0273441626374,0.0233135572365,0.0193864680212,0.0151183940079,0.00717869955814,0.00395918164076,0.00197827701678,0.00118122553511
cL3,11.9229479083,4.50213537832,1.04140001119,0.227342709899,-0.835651993752,0.500001072884,5372.0,5447.7,0.986093,0.00960465788422,0.0396623364687,0.0545144939907,0.0715579576716,0.0781640165895,0.0772913399711,0.0764642596655,0.0774744246751,0.0824500011876,0.0808604654521,0.0748039645068,0.0697038566843,0.0624103156775,0.0528472043015,0.0437189491969,0.0338032762147,0.0178606169131,0.0102314602705,0.00501467851829,0.00295800166461
cR1,6.71646952629,8.73287105560,1.04139998555,0.220778331161,0.837412059307,0.499997973442,754.6,775.9,0.972523,0.00102761335345,0.00503542704787,0.00764275656128,0.010030309468,0.010940728602,0.0108534388673,0.0107618456329,0.0109255627971,0.0116991335107,0.0115648492738,0.0107712545665,0.0100519502303,0.00902132406877,0.00771782880044,0.00646277423948,0.00511836992553,0.00226845418266,0.00122329878306,0.00054036125791,0.000312445760675
cR2,9.31787894585,9.51737115780,1.04140006088,0.220778241754,0.837411701679,0.499998569489,1556.9,1586.5,0.981382,0.00229934370657,0.0108151481124,0.0159265704481,0.0208087585112,0.0226353128012,0.0223843983505,0.0221428634506,0.0224325201474,0.0239522367083,0.0235941239102,0.0219061559234,0.0204129268471,0.0182989102509,0.0156393546704,0.0131026949985,0.010371077837,0.00471967415884,0.00254292339587,0.00113380256417,0.000649456764164
cR3,11.9296364784,10.2839703560,1.04139998555,0.220777571201,0.837409198284,0.500003099442,3610.0,3598.6,1.003191,0.00650787892845,0.0274588815384,0.0377157471478,0.0488480298556,0.0528323323242,0.0518854104839,0.0510266827941,0.051401744429,0.0544750035591,0.0532269671783,0.0490937442742,0.0455508540161,0.0406801237967,0.0345902497675,0.0289119436629,0.0227712331563,0.0115671583288,0.00649638883537,0.00284041292779,0.00159791501833
R1,5.07442509303,14.4362595335,1.04140007032,0.630417943001,-0.593777954578,0.500000953674,536.5,559.4,0.959025,0.000528035906085,0.00326104149269,0.00535854461859,0.00708082987927,0.00774732049322,0.00771890234621,0.00768146512471,0.0078219527076,0.00841246881662,0.0083770281896,0.00783136307448,0.00731438413449,0.00657367266482,0.00563777831825,0.00473617007118,0.00378745695739,0.00151238627848,0.00077283175505,0.000280663354657,0.000156380353576
R2,7.69097402449,15.1890108702,1.04140005925,0.630418598652,-0.593775868416,0.500002622604,1374.1,1416.2,0.970260,0.001835231342,0.00917029896984,0.0138156225588,0.0182004163675,0.0198996716347,0.0197648950573,0.0196264434848,0.0199564606296,0.0213723342111,0.0211270555174,0.0196486855187,0.0183293006262,0.0164530751361,0.0140669268686,0.0117980373194,0.009345477561,0.00418328467989,0.00223786583205,0.000996859456063,0.000579933074332
R3,10.2893643058,15.9183362207,1.04140001206,0.630418598652,-0.593778550625,0.499999403954,4704.6,4721.6,0.996393,0.00888263600087,0.0357151222117,0.0480091907121,0.0629744303003,0.0686859747581,0.067722873766,0.0668089752831,0.0675079754144,0.0715804892331,0.0699086645655,0.0644478625618,0.0598549671359,0.0534265234284,0.0452293492723,0.0375362801068,0.0290979867093,0.0157636079192,0.00911382171884,0.00468095484562,0.00279732454126
