Viewname,X,Y,Z,nX,nY,nZ,EML,Lux,M/P,390,410,430,450,470,490,510,530,550,570,590,610,630,650,670,690,710,730,750,770
L1,5.04703145254,0.353925395362,1.04139999509,0.630651175976,0.593529343605,0.500001966953,488.3,513.7,0.950691,0.000627624779823,0.00324037442724,0.00488969769641,0.00647010499164,0.00704072483545,0.00697151811467,0.00697402351247,0.00716313782148,0.00773372667404,0.00771378217433,0.0072327351951,0.00677107283422,0.0060674768819,0.00514839388342,0.00425694733104,0.00328989232611,0.00170984357108,0.00098621554838,0.000218323917798,7.0345330592e-05
L2,7.66664457321,-0.376248240471,1.04139998555,0.630653321743,0.593528628349,0.500000178814,937.0,953.7,0.982445,0.00150904882351,0.00686689084321,0.0097241926387,0.0126829173736,0.0136617669954,0.0133862719204,0.0132404507549,0.0134616858621,0.0144022824962,0.0142070147932,0.0132126997227,0.0123126102819,0.0109922574875,0.00930457194569,0.00768073571641,0.00591403268469,0.0031007160346,0.00178286333685,0.000522237560124,0.000223559476403
L3,10.3024735401,-1.09727578803,1.04139998220,0.630650937557,0.593529284,0.500002384186,2159.7,2057.2,1.049821,0.0049264047917,0.0187739390412,0.0239677542698,0.0304356539894,0.0321722339351,0.0308910752837,0.0298947001107,0.0297609353565,0.0312168226685,0.0301237123903,0.0275630816638,0.0254152413223,0.022467536423,0.0188610733839,0.0154537731584,0.0117754038977,0.00652530529909,0.00380120225977,0.00158850059869,0.000855916105094
cL1,6.71534275768,6.09571763121,1.04140000289,0.227346614003,-0.835650920868,0.500001072884,536.8,536.9,0.999782,0.000933490463044,0.00403763694344,0.00562845689049,0.00731570203034,0.00787112474442,0.00769295442402,0.00755982417483,0.00763063020715,0.00812094275421,0.00795487940982,0.00736648200704,0.00685045895688,0.0061018123311,0.00517052245061,0.00426634787391,0.00328654425179,0.00167794287186,0.000959032859013,0.000423325778358,0.000243634924336
cL2,9.32217595494,5.30242099146,1.04139995992,0.227340534329,-0.835653960705,0.499998778105,1091.2,1069.1,1.020663,0.00215720520371,0.00871709286254,0.0116592821351,0.015044600594,0.0161020790918,0.0156453512717,0.0152772633165,0.0153275050242,0.0162080936294,0.0157494786054,0.0144989637746,0.013441370283,0.0119411817963,0.0100927878717,0.00830989395138,0.00636806589724,0.00334654881447,0.00192419036357,0.000954824471707,0.000563419781544
cL3,11.9229479083,4.50213537832,1.04140001119,0.227342709899,-0.835651993752,0.500001072884,2478.3,2360.9,1.049743,0.00581229249272,0.0215550545605,0.0271873812793,0.0347235379267,0.0368893466681,0.035530093332,0.0344039561693,0.034236619737,0.0358746279381,0.034527213259,0.0315446122136,0.0290900694251,0.0257236939592,0.0215909473199,0.0176764426857,0.0134165887018,0.00759613286946,0.00446306401002,0.00229731582392,0.00135781601501
cR1,6.71646952629,8.73287105560,1.04139998555,0.220778331161,0.837412059307,0.499997973442,529.0,529.7,0.998597,0.00091667944364,0.00398275959743,0.00557706646775,0.00722351203635,0.00775223252736,0.00756975116115,0.00744314620094,0.00751887576403,0.00800738266306,0.00785254304409,0.00728060851889,0.00676835253658,0.00603000316098,0.00511008747658,0.00422429519598,0.0032649090979,0.0016719734884,0.000957277265936,0.000369946155808,0.000198862292834
cR2,9.31787894585,9.51737115780,1.04140006088,0.220778241754,0.837411701679,0.499998569489,1003.5,980.8,1.023096,0.00198619834736,0.00808613958182,0.010840883995,0.0139072299192,0.0148206627237,0.0143645547286,0.0140134157242,0.0140560417403,0.014863954236,0.0144489455301,0.0133066276733,0.0123239930414,0.0109459149683,0.00925788444495,0.0076472415165,0.00589484502389,0.00307998288916,0.0017658944048,0.000769032954681,0.000429467040917
cR3,11.9296364784,10.2839703560,1.04139998555,0.220777571201,0.837409198284,0.500003099442,2094.8,1971.5,1.062513,0.00500766996271,0.0186648971479,0.0235148155376,0.02972096317,0.0313082827371,0.0299696173768,0.0288986185391,0.0286620835416,0.0299455420699,0.0287689739898,0.0262417550918,0.0241342180537,0.0212936972039,0.0178881814219,0.0146952085175,0.0112388450674,0.00623831777195,0.00363501535817,0.00165765502173,0.000934576482035
R1,5.07442509303,14.4362595335,1.04140007032,0.630417943001,-0.593777954578,0.500000953674,495.2,522.0,0.948648,0.000645068826067,0.00329464622056,0.00495431526569,0.00655263754162,0.0071313872871,0.00706628364455,0.00707590316506,0.00727587582897,0.00785948508382,0.00784071091153,0.00735449981159,0.00688801137926,0.00617727642967,0.00525200537592,0.00435879191458,0.0033827675937,0.00177255201826,0.00102656646013,0.000234119209216,7.88031826269e-05
R2,7.69097402449,15.1890108702,1.04140005925,0.630418598652,-0.593775868416,0.500002622604,907.0,922.6,0.983096,0.00146209188241,0.00666136095906,0.00943361869007,0.0122869177211,0.0132249086436,0.012956274868,0.0128138211463,0.013028964842,0.0139325269338,0.0137408248555,0.0127780262539,0.0119037582323,0.0106269147045,0.00900969510684,0.00746148894243,0.00577106189844,0.00302519912857,0.00174099803364,0.000513171243598,0.00022355565347
R3,10.2893643058,15.9183362207,1.04140001206,0.630418598652,-0.593778550625,0.499999403954,2122.0,2021.7,1.049596,0.00489629353127,0.0184939983532,0.0235064723672,0.0298688534092,0.0315925116353,0.0303587532833,0.0293953625858,0.0292702851679,0.030683740567,0.0296002016913,0.0270761814164,0.0249518715883,0.0220546400154,0.0185459413173,0.0152488133501,0.0116637766818,0.00652806963692,0.0038174384119,0.00165708994117,0.000911177681421
