Viewname,X,Y,Z,nX,nY,nZ,EML,Lux,M/P,390,410,430,450,470,490,510,530,550,570,590,610,630,650,670,690,710,730,750,770
L1,5.04703145254,0.353925395362,1.04139999509,0.630651175976,0.593529343605,0.500001966953,76.6,195.1,0.392688,3.32984163833e-05,0.000429453502875,0.00120862945914,0.00114306248724,0.000299590377836,0.000425912992796,0.0011938509997,0.00218219659291,0.0028330674395,0.00322880595922,0.00357404630631,0.00377379381098,0.00367444986477,0.0032458929345,0.00255863275379,0.00185039278585,0.00101976795122,0.000596067751758,0.000303622859064,0.00017073865456
L2,7.66664457321,-0.376248240471,1.04139998555,0.630653321743,0.593528628349,0.500000178814,78.3,199.4,0.392898,3.4153683373e-05,0.000440274045104,0.00123708648607,0.00116961367894,0.000306439644191,0.000435476889834,0.00122039497364,0.00223069032654,0.00289601506665,0.00329992268234,0.00365149066783,0.00385525636375,0.00375389144756,0.0033168499358,0.00261642877012,0.00189339683857,0.00103862630203,0.000605156878009,0.000311411422445,0.00017530626792
L3,10.3024735401,-1.09727578803,1.04139998220,0.630650937557,0.593529284,0.500002384186,59.3,151.0,0.392724,2.55340819422e-05,0.000332945317496,0.000935662654229,0.000884357548784,0.000231828948017,0.000329616887029,0.000924010411836,0.0016890775878,0.00219342857599,0.00249948166311,0.00276525551453,0.00291879056022,0.00284186843783,0.00251221354119,0.0019843231421,0.00144038267899,0.000795773405116,0.000465027056634,0.000231775193242,0.000129246109282
cL1,6.71534275768,6.09571763121,1.04140000289,0.227346614003,-0.835650920868,0.500001072884,69.3,176.4,0.392482,2.94327037409e-05,0.000385297607863,0.0010920696659,0.00103305839002,0.000270790420473,0.00038505307748,0.00107933848631,0.0019727004692,0.00256161321886,0.00292071839795,0.00323361274786,0.00341399479657,0.00332402577624,0.00293694017455,0.00231568445452,0.00167652405798,0.0009128099191,0.000531000725459,0.000267738068942,0.000150018429849
cL2,9.32217595494,5.30242099146,1.04139995992,0.227340534329,-0.835653960705,0.499998778105,79.4,202.1,0.392974,3.48252906406e-05,0.000447499245638,0.00125460210256,0.00118602404837,0.000310736766551,0.000441566313384,0.00123747868929,0.0022620104719,0.00293658091687,0.00334561197087,0.00370145426132,0.0039078197442,0.00380495563149,0.00336205307394,0.00265265768394,0.00191991543397,0.0010578087531,0.000617499987129,0.000317561731208,0.000178615722689
cL3,11.9229479083,4.50213537832,1.04140001119,0.227342709899,-0.835651993752,0.500001072884,61.8,157.4,0.392843,2.6646986953e-05,0.000347501802025,0.000976028852165,0.000922432984225,0.000241760339122,0.000343665858964,0.000963285565376,0.00176085159183,0.00228648260236,0.00260522123426,0.00288187758997,0.00304185482673,0.00296172010712,0.00261829607189,0.00206844089553,0.00150122342166,0.000827341747936,0.000482604053104,0.000241936286329,0.000134983260068
cR1,6.71646952629,8.73287105560,1.04139998555,0.220778331161,0.837412059307,0.499997973442,82.3,209.4,0.392863,3.61298225471e-05,0.000463635951746,0.00129781523719,0.00122695229948,0.000321608502418,0.000457245332655,0.00128183688503,0.00234322017059,0.00304152909666,0.00346487434581,0.00383417727426,0.00404782220721,0.00394108751789,0.00348248076625,0.00274776504375,0.00198910315521,0.00110891752411,0.000651028356515,0.000329351256369,0.00018437235849
cR2,9.31787894585,9.51737115780,1.04140006088,0.220778241754,0.837411701679,0.499998569489,78.1,198.7,0.393017,3.42127532349e-05,0.000439694733359,0.00123332394287,0.00116571097169,0.000305436260533,0.000434114859672,0.00121669808868,0.00222393684089,0.00288674351759,0.00328859360889,0.00363820511848,0.00384024344385,0.00373908341862,0.00330573064275,0.00261150137521,0.00189363525715,0.00104244821705,0.000608716043644,0.000312262651278,0.000175588502316
cR3,11.9296364784,10.2839703560,1.04139998555,0.220777571201,0.837409198284,0.500003099442,56.6,144.0,0.392904,2.41499619733e-05,0.000316615914926,0.000892937707249,0.000843521556817,0.000221117792535,0.000314488337608,0.000881671439856,0.00161141983699,0.00209182873368,0.00238338368945,0.00263620167971,0.002780739218,0.00270735472441,0.00239761965349,0.00190132763237,0.00138815038372,0.000757924455684,0.000440776668256,0.000219557987293,0.000122392608318
R1,5.07442509303,14.4362595335,1.04140007032,0.630417943001,-0.593777954578,0.500000953674,71.4,182.1,0.392423,3.00456431432e-05,0.000396452902351,0.00112635293044,0.00106547656469,0.000279325322481,0.000397278286982,0.00111370056402,0.00203541014344,0.00264282338321,0.00301353586838,0.00333686405793,0.00352271669544,0.00343000050634,0.00303167453967,0.00239188643172,0.0017336223973,0.000941412698012,0.00054707279196,0.000272902398137,0.000152406326379
R2,7.69097402449,15.1890108702,1.04140005925,0.630418598652,-0.593775868416,0.500002622604,72.3,184.0,0.392803,3.09279676003e-05,0.000403552112402,0.00114139111247,0.00107909424696,0.000282750552287,0.000401939410949,0.00112647144124,0.0020587304607,0.00267275236547,0.00304639432579,0.0033712615259,0.00355824409053,0.00346463057213,0.00306401075795,0.00242124102078,0.00175767508335,0.00095282838447,0.000553302292246,0.000281680142507,0.00015814435028
R3,10.2893643058,15.9183362207,1.04140001206,0.630418598652,-0.593778550625,0.499999403954,55.8,142.0,0.392845,2.36727391894e-05,0.000311727635562,0.000880366773345,0.000831698824186,0.000218034430873,0.000310131610604,0.000869487354066,0.00158913177438,0.0020629351493,0.00235065445304,0.00260022212751,0.00274279434234,0.00267043872736,0.00236499402672,0.00187539716717,0.00136934034526,0.000747830199543,0.000435124471551,0.000215072752326,0.00011972986249
