month,day,full_time,hour,minute,altitude,azimuth,irradmean,skycover,class,doy
7,22,6.131,6,7,11.024,-107.814,198.045,5.307,Simulation Position,203
7,22,8.226,8,13,33.436,-87.035,391.720,5.492,Simulation Position,203
7,22,10.321,10,19,55.073,-58.420,608.811,6.068,Simulation Position,203
7,22,12.417,12,24,66.771,0.145,677.780,6.470,Simulation Position,203
7,22,14.512,14,30,54.997,58.570,567.470,6.811,Simulation Position,203
7,22,16.607,16,36,33.348,87.122,359.205,6.280,Simulation Position,203
7,22,18.702,18,42,10.940,107.893,168.625,5.955,Simulation Position,203
9,5,6.827,6,49,10.425,-89.349,133.636,5.909,Simulation Position,248
9,5,8.649,8,38,29.753,-68.926,325.205,5.856,Simulation Position,248
9,5,10.470,10,28,45.960,-40.998,515.409,6.311,Simulation Position,248
9,5,12.292,12,17,53.042,-0.022,567.053,6.652,Simulation Position,248
9,5,14.113,14,6,45.973,40.964,461.879,6.470,Simulation Position,248
9,5,15.935,15,56,29.771,68.904,298.500,6.477,Simulation Position,248
9,5,17.756,17,45,10.445,89.331,177.614,6.500,Simulation Position,248
10,20,7.583,7,34,8.490,-66.162,115.170,7.432,Simulation Position,293
10,20,9.083,9,4,22.146,-48.092,206.886,7.409,Simulation Position,293
10,20,10.583,10,35,31.954,-25.780,331.583,7.038,Simulation Position,293
10,20,12.083,12,5,35.539,0.526,385.386,6.920,Simulation Position,293
10,20,13.583,13,35,31.676,26.732,335.129,6.909,Simulation Position,293
10,20,15.083,15,5,21.675,48.861,224.625,6.898,Simulation Position,293
10,20,16.583,16,35,7.912,66.799,126.625,6.807,Simulation Position,293
12,7,8.381,8,22,5.841,-50.854,70.500,8.310,Simulation Position,341
12,7,9.643,9,38,15.245,-35.864,138.060,8.130,Simulation Position,341
12,7,10.905,10,54,21.532,-18.674,183.580,7.990,Simulation Position,341
12,7,12.167,12,10,23.748,0.111,201.470,7.790,Simulation Position,341
12,7,13.429,13,25,21.481,18.886,173.587,7.747,Simulation Position,341
12,7,14.690,14,41,15.152,36.051,95.480,7.720,Simulation Position,341
12,7,15.952,15,57,5.717,51.016,61.620,7.500,Simulation Position,341
1,1,7.966667,7,57,0.046,-57.311,0.0,0.0,Sunrise,1
1,1,16.766667,16,46,0.129,57.216,0.0,0.0,Sunset,1
1,2,7.966667,7,57,0.043,-57.443,0.0,0.0,Sunrise,2
1,2,16.783333,16,47,0.108,57.369,0.0,0.0,Sunset,2
1,3,7.966667,7,57,0.045,-57.578,0.0,0.0,Sunrise,3
