month,day,full_time,hour,minute,altitude,azimuth,irradmean,skycover,class,doy
6,8,4.716667,4,42,0.038,-122.327,0.0,0.0,Sunrise,159
6,8,19.850000,19,51,0.132,122.221,0.0,0.0,Sunset,159
6,9,4.716667,4,42,0.078,-122.420,0.0,0.0,Sunrise,160
6,9,19.866667,19,52,0.076,122.422,0.0,0.0,Sunset,160
6,10,4.716667,4,42,0.113,-122.509,0.0,0.0,Sunrise,161
6,10,19.883333,19,53,0.016,122.619,0.0,0.0,Sunset,161
6,11,4.716667,4,42,0.142,-122.593,0.0,0.0,Sunrise,162
6,11,19.883333,19,53,0.104,122.637,0.0,0.0,Sunset,162
6,12,4.700000,4,41,0.014,-122.847,0.0,0.0,Sunrise,163
6,12,19.900000,19,54,0.035,122.823,0.0,0.0,Sunset,163
6,13,4.700000,4,41,0.032,-122.924,0.0,0.0,Sunrise,164
6,13,19.900000,19,54,0.114,122.832,0.0,0.0,Sunset,164
6,14,4.700000,4,41,0.045,-122.997,0.0,0.0,Sunrise,165
6,14,19.916667,19,55,0.036,123.008,0.0,0.0,Sunset,165
6,15,4.700000,4,41,0.053,-123.066,0.0,0.0,Sunrise,166
6,15,19.916667,19,55,0.105,123.006,0.0,0.0,Sunset,166
6,16,4.700000,4,41,0.055,-123.130,0.0,0.0,Sunrise,167
6,16,19.933333,19,56,0.018,123.173,0.0,0.0,Sunset,167
6,17,4.700000,4,41,0.052,-123.191,0.0,0.0,Sunrise,168
6,17,19.933333,19,56,0.078,123.162,0.0,0.0,Sunset,168
6,18,4.700000,4,41,0.044,-123.247,0.0,0.0,Sunrise,169
6,18,19.933333,19,56,0.132,123.146,0.0,0.0,Sunset,169
6,19,4.700000,4,41,0.030,-123.299,0.0,0.0,Sunrise,170
6,19,19.950000,19,57,0.031,123.298,0.0,0.0,Sunset,170
6,20,4.700000,4,41,0.011,-123.346,0.0,0.0,Sunrise,171
6,20,19.950000,19,57,0.075,123.273,0.0,0.0,Sunset,171
6,21,4.716667,4,42,0.138,-123.217,0.0,0.0,Sunrise,172
6,21,19.950000,19,57,0.115,123.244,0.0,0.0,Sunset,172
6,22,4.716667,4,42,0.109,-123.255,0.0,0.0,Sunrise,173
6,22,19.950000,19,57,0.149,123.210,0.0,0.0,Sunset,173
6,23,4.716667,4,42,0.075,-123.289,0.0,0.0,Sunrise,174
6,23,19.966667,19,58,0.027,123.344,0.0,0.0,Sunset,174
6,24,4.716667,4,42,0.035,-123.319,0.0,0.0,Sunrise,175
6,24,19.966667,19,58,0.051,123.301,0.0,0.0,Sunset,175
6,25,4.733333,4,43,0.142,-123.171,0.0,0.0,Sunrise,176
6,25,19.966667,19,58,0.069,123.254,0.0,0.0,Sunset,176
6,26,4.733333,4,43,0.093,-123.191,0.0,0.0,Sunrise,177
6,26,19.966667,19,58,0.083,123.203,0.0,0.0,Sunset,177
6,27,4.733333,4,43,0.039,-123.206,0.0,0.0,Sunrise,178
6,27,19.966667,19,58,0.091,123.147,0.0,0.0,Sunset,178
6,28,4.750000,4,44,0.132,-123.043,0.0,0.0,Sunrise,179
6,28,19.966667,19,58,0.093,123.087,0.0,0.0,Sunset,179
6,29,4.750000,4,44,0.068,-123.048,0.0,0.0,Sunrise,180
6,29,19.966667,19,58,0.090,123.024,0.0,0.0,Sunset,180
6,30,4.766667,4,45,0.152,-122.876,0.0,0.0,Sunrise,181
6,30,19.966667,19,58,0.081,122.956,0.0,0.0,Sunset,181
7,1,4.766667,4,45,0.079,-122.871,0.0,0.0,Sunrise,182
7,1,19.966667,19,58,0.067,122.884,0.0,0.0,Sunset,182
7,2,4.766667,4,45,0.001,-122.861,0.0,0.0,Sunrise,183
7,2,19.966667,19,58,0.048,122.809,0.0,0.0,Sunset,183
7,3,4.783333,4,46,0.071,-122.674,0.0,0.0,Sunrise,184
7,3,19.966667,19,58,0.023,122.729,0.0,0.0,Sunset,184
7,4,4.800000,4,47,0.138,-122.481,0.0,0.0,Sunrise,185
7,4,19.950000,19,57,0.144,122.474,0.0,0.0,Sunset,185
7,5,4.800000,4,47,0.047,-122.456,0.0,0.0,Sunrise,186
7,5,19.950000,19,57,0.108,122.387,0.0,0.0,Sunset,186
7,6,4.816667,4,48,0.105,-122.252,0.0,0.0,Sunrise,187
7,6,19.950000,19,57,0.066,122.296,0.0,0.0,Sunset,187
7,7,4.816667,4,48,0.006,-122.216,0.0,0.0,Sunrise,188
7,7,19.950000,19,57,0.018,122.202,0.0,0.0,Sunset,188
7,8,4.833333,4,49,0.056,-122.002,0.0,0.0,Sunrise,189
7,8,19.933333,19,56,0.118,121.932,0.0,0.0,Sunset,189
7,9,4.850000,4,50,0.102,-121.783,0.0,0.0,Sunrise,190
7,9,19.933333,19,56,0.059,121.831,0.0,0.0,Sunset,190
7,10,4.866667,4,51,0.145,-121.558,0.0,0.0,Sunrise,191
7,10,19.916667,19,55,0.148,121.554,0.0,0.0,Sunset,191
7,11,4.866667,4,51,0.030,-121.500,0.0,0.0,Sunrise,192
7,11,19.916667,19,55,0.077,121.446,0.0,0.0,Sunset,192
7,12,4.883333,4,52,0.065,-121.264,0.0,0.0,Sunrise,193
7,12,19.916667,19,55,0.001,121.335,0.0,0.0,Sunset,193
7,13,4.900000,4,53,0.098,-121.022,0.0,0.0,Sunrise,194
7,13,19.900000,19,54,0.074,121.048,0.0,0.0,Sunset,194
7,14,4.916667,4,54,0.127,-120.775,0.0,0.0,Sunrise,195
7,14,19.883333,19,53,0.141,120.759,0.0,0.0,Sunset,195
7,15,4.933333,4,55,0.153,-120.522,0.0,0.0,Sunrise,196
7,15,19.883333,19,53,0.048,120.638,0.0,0.0,Sunset,196
7,16,4.933333,4,55,0.020,-120.436,0.0,0.0,Sunrise,197
7,16,19.866667,19,52,0.105,120.342,0.0,0.0,Sunset,197
7,17,4.950000,4,56,0.039,-120.172,0.0,0.0,Sunrise,198
7,17,19.866667,19,52,0.000,120.215,0.0,0.0,Sunset,198
7,18,4.966667,4,57,0.056,-119.902,0.0,0.0,Sunrise,199
7,18,19.850000,19,51,0.046,119.913,0.0,0.0,Sunset,199
7,19,4.983333,4,58,0.070,-119.626,0.0,0.0,Sunrise,200
7,19,19.833333,19,50,0.087,119.608,0.0,0.0,Sunset,200
7,20,5.000000,4,59,0.082,-119.345,0.0,0.0,Sunrise,201
7,20,19.816667,19,49,0.123,119.300,0.0,0.0,Sunset,201
7,21,5.016667,5,0,0.091,-119.058,0.0,0.0,Sunrise,202
7,21,19.800000,19,48,0.153,118.990,0.0,0.0,Sunset,202
7,22,5.033333,5,1,0.097,-118.765,0.0,0.0,Sunrise,203
7,22,19.800000,19,48,0.020,118.849,0.0,0.0,Sunset,203
7,23,5.050000,5,2,0.102,-118.466,0.0,0.0,Sunrise,204
7,23,19.783333,19,47,0.040,118.533,0.0,0.0,Sunset,204
7,24,5.066667,5,3,0.104,-118.161,0.0,0.0,Sunrise,205
7,24,19.766667,19,46,0.055,118.214,0.0,0.0,Sunset,205
7,25,5.083333,5,4,0.103,-117.851,0.0,0.0,Sunrise,206
7,25,19.750000,19,45,0.065,117.893,0.0,0.0,Sunset,206
7,26,5.100000,5,5,0.101,-117.535,0.0,0.0,Sunrise,207
7,26,19.733333,19,44,0.069,117.569,0.0,0.0,Sunset,207
7,27,5.116667,5,6,0.097,-117.213,0.0,0.0,Sunrise,208
7,27,19.716667,19,43,0.069,117.243,0.0,0.0,Sunset,208
7,28,5.133333,5,7,0.091,-116.885,0.0,0.0,Sunrise,209
7,28,19.700000,19,42,0.064,116.914,0.0,0.0,Sunset,209
7,29,5.150000,5,8,0.083,-116.552,0.0,0.0,Sunrise,210
7,29,19.683333,19,41,0.053,116.583,0.0,0.0,Sunset,210
7,30,5.166667,5,9,0.073,-116.213,0.0,0.0,Sunrise,211
7,30,19.666667,19,40,0.038,116.250,0.0,0.0,Sunset,211
7,31,5.183333,5,10,0.062,-115.868,0.0,0.0,Sunrise,212
7,31,19.650000,19,39,0.018,115.915,0.0,0.0,Sunset,212
8,1,5.200000,5,11,0.049,-115.517,0.0,0.0,Sunrise,213
8,1,19.616667,19,37,0.156,115.404,0.0,0.0,Sunset,213
8,2,5.216667,5,12,0.035,-115.161,0.0,0.0,Sunrise,214
8,2,19.600000,19,36,0.127,115.064,0.0,0.0,Sunset,214
8,3,5.233333,5,13,0.020,-114.799,0.0,0.0,Sunrise,215
8,3,19.583333,19,35,0.093,114.722,0.0,0.0,Sunset,215
8,4,5.250000,5,14,0.003,-114.431,0.0,0.0,Sunrise,216
8,4,19.566667,19,34,0.054,114.378,0.0,0.0,Sunset,216
8,5,5.283333,5,16,0.150,-113.886,0.0,0.0,Sunrise,217
8,5,19.550000,19,33,0.010,114.032,0.0,0.0,Sunset,217
8,6,5.300000,5,17,0.131,-113.507,0.0,0.0,Sunrise,218
8,6,19.516667,19,31,0.127,113.511,0.0,0.0,Sunset,218
8,7,5.316667,5,18,0.111,-113.123,0.0,0.0,Sunrise,219
8,7,19.500000,19,30,0.075,113.161,0.0,0.0,Sunset,219
8,8,5.333333,5,19,0.091,-112.733,0.0,0.0,Sunrise,220
8,8,19.483333,19,29,0.018,112.809,0.0,0.0,Sunset,220
8,9,5.350000,5,20,0.069,-112.338,0.0,0.0,Sunrise,221
8,9,19.450000,19,27,0.123,112.282,0.0,0.0,Sunset,221
8,10,5.366667,5,21,0.046,-111.938,0.0,0.0,Sunrise,222
8,10,19.433333,19,26,0.058,111.926,0.0,0.0,Sunset,222
8,11,5.383333,5,22,0.023,-111.533,0.0,0.0,Sunrise,223
8,11,19.400000,19,24,0.156,111.396,0.0,0.0,Sunset,223
8,12,5.416667,5,24,0.168,-110.949,0.0,0.0,Sunrise,224
8,12,19.383333,19,23,0.082,111.037,0.0,0.0,Sunset,224
8,13,5.433333,5,25,0.143,-110.534,0.0,0.0,Sunrise,225
8,13,19.366667,19,22,0.004,110.676,0.0,0.0,Sunset,225
8,14,5.450000,5,26,0.119,-110.113,0.0,0.0,Sunrise,226
8,14,19.333333,19,20,0.091,110.141,0.0,0.0,Sunset,226
8,15,5.466667,5,27,0.093,-109.687,0.0,0.0,Sunrise,227
8,15,19.316667,19,19,0.005,109.777,0.0,0.0,Sunset,227
8,16,5.483333,5,28,0.067,-109.256,0.0,0.0,Sunrise,228
8,16,19.283333,19,17,0.085,109.238,0.0,0.0,Sunset,228
8,17,5.500000,5,29,0.041,-108.821,0.0,0.0,Sunrise,229
8,17,19.250000,19,15,0.163,108.699,0.0,0.0,Sunset,229
8,18,5.516667,5,30,0.015,-108.381,0.0,0.0,Sunrise,230
8,18,19.233333,19,14,0.065,108.330,0.0,0.0,Sunset,230
8,19,5.550000,5,32,0.160,-107.763,0.0,0.0,Sunrise,231
8,19,19.200000,19,12,0.136,107.787,0.0,0.0,Sunset,231
8,20,5.566667,5,33,0.133,-107.314,0.0,0.0,Sunrise,232
8,20,19.183333,19,11,0.031,107.415,0.0,0.0,Sunset,232
8,21,5.583333,5,34,0.106,-106.860,0.0,0.0,Sunrise,233
8,21,19.150000,19,9,0.096,106.870,0.0,0.0,Sunset,233
8,22,5.600000,5,35,0.078,-106.402,0.0,0.0,Sunrise,234
8,22,19.116667,19,7,0.158,106.323,0.0,0.0,Sunset,234
8,23,5.616667,5,36,0.051,-105.940,0.0,0.0,Sunrise,235
8,23,19.100000,19,6,0.043,105.947,0.0,0.0,Sunset,235
8,24,5.633333,5,37,0.023,-105.473,0.0,0.0,Sunrise,236
8,24,19.066667,19,4,0.099,105.398,0.0,0.0,Sunset,236
8,25,5.666667,5,39,0.170,-104.830,0.0,0.0,Sunrise,237
8,25,19.033333,19,2,0.153,104.847,0.0,0.0,Sunset,237
8,26,5.683333,5,40,0.143,-104.356,0.0,0.0,Sunrise,238
8,26,19.016667,19,1,0.029,104.468,0.0,0.0,Sunset,238
8,27,5.700000,5,41,0.115,-103.878,0.0,0.0,Sunrise,239
8,27,18.983333,18,59,0.078,103.915,0.0,0.0,Sunset,239
8,28,5.716667,5,42,0.087,-103.397,0.0,0.0,Sunrise,240
8,28,18.950000,18,57,0.124,103.361,0.0,0.0,Sunset,240
8,29,5.733333,5,43,0.060,-102.911,0.0,0.0,Sunrise,241
8,29,18.916667,18,55,0.168,102.806,0.0,0.0,Sunset,241
8,30,5.750000,5,44,0.032,-102.423,0.0,0.0,Sunrise,242
8,30,18.900000,18,54,0.033,102.422,0.0,0.0,Sunset,242
8,31,5.766667,5,45,0.004,-101.931,0.0,0.0,Sunrise,243
8,31,18.866667,18,52,0.072,101.865,0.0,0.0,Sunset,243
9,1,5.800000,5,47,0.154,-101.264,0.0,0.0,Sunrise,244
9,1,18.833333,18,50,0.110,101.307,0.0,0.0,Sunset,244
9,2,5.816667,5,48,0.126,-100.766,0.0,0.0,Sunrise,245
9,2,18.800000,18,48,0.145,100.747,0.0,0.0,Sunset,245
9,3,5.833333,5,49,0.099,-100.265,0.0,0.0,Sunrise,246
9,3,18.783333,18,47,0.001,100.360,0.0,0.0,Sunset,246
9,4,5.850000,5,50,0.071,-99.762,0.0,0.0,Sunrise,247
9,4,18.750000,18,45,0.033,99.799,0.0,0.0,Sunset,247
9,5,5.866667,5,51,0.044,-99.256,0.0,0.0,Sunrise,248
9,5,18.716667,18,43,0.063,99.237,0.0,0.0,Sunset,248
9,6,5.883333,5,52,0.017,-98.748,0.0,0.0,Sunrise,249
9,6,18.683333,18,41,0.092,98.675,0.0,0.0,Sunset,249
9,7,5.916667,5,54,0.168,-98.064,0.0,0.0,Sunrise,250
9,7,18.650000,18,39,0.120,98.111,0.0,0.0,Sunset,250
9,8,5.933333,5,55,0.141,-97.552,0.0,0.0,Sunrise,251
9,8,18.616667,18,37,0.146,97.547,0.0,0.0,Sunset,251
9,9,5.950000,5,56,0.113,-97.037,0.0,0.0,Sunrise,252
9,9,18.583333,18,35,0.171,96.982,0.0,0.0,Sunset,252
9,10,5.966667,5,57,0.086,-96.521,0.0,0.0,Sunrise,253
9,10,18.566667,18,34,0.015,96.589,0.0,0.0,Sunset,253
9,11,5.983333,5,58,0.059,-96.003,0.0,0.0,Sunrise,254
9,11,18.533333,18,32,0.037,96.023,0.0,0.0,Sunset,254
9,12,6.000000,5,59,0.031,-95.483,0.0,0.0,Sunrise,255
9,12,18.500000,18,30,0.059,95.456,0.0,0.0,Sunset,255
9,13,6.016667,6,0,0.003,-94.962,0.0,0.0,Sunrise,256
9,13,18.466667,18,28,0.080,94.888,0.0,0.0,Sunset,256
9,14,6.050000,6,2,0.156,-94.268,0.0,0.0,Sunrise,257
9,14,18.433333,18,26,0.101,94.320,0.0,0.0,Sunset,257
9,15,6.066667,6,3,0.128,-93.744,0.0,0.0,Sunrise,258
9,15,18.400000,18,24,0.121,93.752,0.0,0.0,Sunset,258
9,16,6.083333,6,4,0.100,-93.221,0.0,0.0,Sunrise,259
9,16,18.366667,18,22,0.140,93.183,0.0,0.0,Sunset,259
9,17,6.100000,6,5,0.072,-92.696,0.0,0.0,Sunrise,260
9,17,18.333333,18,20,0.159,92.613,0.0,0.0,Sunset,260
9,18,6.116667,6,6,0.044,-92.171,0.0,0.0,Sunrise,261
9,18,18.300000,18,18,0.178,92.043,0.0,0.0,Sunset,261
9,19,6.133333,6,7,0.015,-91.646,0.0,0.0,Sunrise,262
9,19,18.283333,18,17,0.016,91.645,0.0,0.0,Sunset,262
9,20,6.166667,6,9,0.167,-90.947,0.0,0.0,Sunrise,263
9,20,18.250000,18,15,0.034,91.074,0.0,0.0,Sunset,263
9,21,6.183333,6,10,0.138,-90.422,0.0,0.0,Sunrise,264
9,21,18.216667,18,13,0.053,90.503,0.0,0.0,Sunset,264
9,22,6.200000,6,11,0.109,-89.896,0.0,0.0,Sunrise,265
9,22,18.183333,18,11,0.072,89.931,0.0,0.0,Sunset,265
9,23,6.216667,6,12,0.079,-89.371,0.0,0.0,Sunrise,266
9,23,18.150000,18,9,0.091,89.359,0.0,0.0,Sunset,266
9,24,6.233333,6,13,0.049,-88.846,0.0,0.0,Sunrise,267
9,24,18.116667,18,7,0.111,88.787,0.0,0.0,Sunset,267
9,25,6.250000,6,14,0.018,-88.322,0.0,0.0,Sunrise,268
9,25,18.083333,18,5,0.131,88.215,0.0,0.0,Sunset,268
9,26,6.283333,6,16,0.168,-87.626,0.0,0.0,Sunrise,269
9,26,18.050000,18,3,0.152,87.642,0.0,0.0,Sunset,269
9,27,6.300000,6,17,0.137,-87.104,0.0,0.0,Sunrise,270
9,27,18.016667,18,1,0.174,87.069,0.0,0.0,Sunset,270
9,28,6.316667,6,18,0.105,-86.583,0.0,0.0,Sunrise,271
9,28,18.000000,18,0,0.016,86.669,0.0,0.0,Sunset,271
9,29,6.333333,6,19,0.073,-86.063,0.0,0.0,Sunrise,272
9,29,17.966667,17,58,0.039,86.095,0.0,0.0,Sunset,272
9,30,6.350000,6,20,0.040,-85.545,0.0,0.0,Sunrise,273
9,30,17.933333,17,56,0.064,85.522,0.0,0.0,Sunset,273
10,1,6.366667,6,21,0.007,-85.028,0.0,0.0,Sunrise,274
10,1,17.900000,17,54,0.090,84.949,0.0,0.0,Sunset,274
10,2,6.400000,6,23,0.153,-84.341,0.0,0.0,Sunrise,275
10,2,17.866667,17,52,0.117,84.375,0.0,0.0,Sunset,275
10,3,6.416667,6,24,0.118,-83.828,0.0,0.0,Sunrise,276
10,3,17.833333,17,50,0.145,83.802,0.0,0.0,Sunset,276
10,4,6.433333,6,25,0.083,-83.317,0.0,0.0,Sunrise,277
10,4,17.800000,17,48,0.175,83.228,0.0,0.0,Sunset,277
10,5,6.450000,6,26,0.048,-82.808,0.0,0.0,Sunrise,278
10,5,17.783333,17,47,0.027,82.828,0.0,0.0,Sunset,278
10,6,6.466667,6,27,0.011,-82.302,0.0,0.0,Sunrise,279
10,6,17.750000,17,45,0.061,82.254,0.0,0.0,Sunset,279
10,7,6.500000,6,29,0.153,-81.626,0.0,0.0,Sunrise,280
10,7,17.716667,17,43,0.096,81.681,0.0,0.0,Sunset,280
10,8,6.516667,6,30,0.116,-81.125,0.0,0.0,Sunrise,281
10,8,17.683333,17,41,0.133,81.108,0.0,0.0,Sunset,281
10,9,6.533333,6,31,0.077,-80.627,0.0,0.0,Sunrise,282
10,9,17.650000,17,39,0.172,80.535,0.0,0.0,Sunset,282
10,10,6.550000,6,32,0.039,-80.132,0.0,0.0,Sunrise,283
10,10,17.633333,17,38,0.035,80.135,0.0,0.0,Sunset,283
10,11,6.583333,6,34,0.177,-79.467,0.0,0.0,Sunrise,284
10,11,17.600000,17,36,0.079,79.563,0.0,0.0,Sunset,284
10,12,6.600000,6,35,0.137,-78.979,0.0,0.0,Sunrise,285
10,12,17.566667,17,34,0.124,78.990,0.0,0.0,Sunset,285
10,13,6.616667,6,36,0.096,-78.493,0.0,0.0,Sunrise,286
10,13,17.533333,17,32,0.173,78.418,0.0,0.0,Sunset,286
10,14,6.633333,6,37,0.054,-78.012,0.0,0.0,Sunrise,287
10,14,17.516667,17,31,0.046,78.019,0.0,0.0,Sunset,287
10,15,6.650000,6,38,0.012,-77.534,0.0,0.0,Sunrise,288
10,15,17.483333,17,29,0.100,77.448,0.0,0.0,Sunset,288
10,16,6.683333,6,40,0.145,-76.888,0.0,0.0,Sunrise,289
10,16,17.450000,17,27,0.156,76.877,0.0,0.0,Sunset,289
10,17,6.700000,6,41,0.102,-76.418,0.0,0.0,Sunrise,290
10,17,17.433333,17,26,0.039,76.480,0.0,0.0,Sunset,290
10,18,6.716667,6,42,0.058,-75.952,0.0,0.0,Sunrise,291
10,18,17.400000,17,24,0.101,75.910,0.0,0.0,Sunset,291
10,19,6.733333,6,43,0.013,-75.490,0.0,0.0,Sunrise,292
10,19,17.366667,17,22,0.165,75.340,0.0,0.0,Sunset,292
10,20,6.766667,6,45,0.143,-74.860,0.0,0.0,Sunrise,293
10,20,17.350000,17,21,0.058,74.944,0.0,0.0,Sunset,293
10,21,6.783333,6,46,0.097,-74.408,0.0,0.0,Sunrise,294
10,21,17.316667,17,19,0.129,74.376,0.0,0.0,Sunset,294
10,22,6.800000,6,47,0.050,-73.960,0.0,0.0,Sunrise,295
10,22,17.300000,17,18,0.029,73.981,0.0,0.0,Sunset,295
10,23,6.816667,6,48,0.004,-73.516,0.0,0.0,Sunrise,296
10,23,17.266667,17,16,0.107,73.413,0.0,0.0,Sunset,296
10,24,6.850000,6,50,0.130,-72.905,0.0,0.0,Sunrise,297
10,24,17.250000,17,15,0.015,73.020,0.0,0.0,Sunset,297
10,25,6.866667,6,51,0.082,-72.471,0.0,0.0,Sunrise,298
10,25,17.216667,17,13,0.099,72.454,0.0,0.0,Sunset,298
10,26,6.883333,6,52,0.034,-72.043,0.0,0.0,Sunrise,299
10,26,17.200000,17,12,0.015,72.062,0.0,0.0,Sunset,299
10,27,6.916667,6,54,0.157,-71.446,0.0,0.0,Sunrise,300
10,27,17.166667,17,10,0.106,71.498,0.0,0.0,Sunset,300
10,28,6.933333,6,55,0.109,-71.028,0.0,0.0,Sunrise,301
10,28,17.150000,17,9,0.030,71.107,0.0,0.0,Sunset,301
10,29,6.950000,6,56,0.060,-70.615,0.0,0.0,Sunrise,302
10,29,17.116667,17,7,0.129,70.545,0.0,0.0,Sunset,302
10,30,6.966667,6,57,0.011,-70.207,0.0,0.0,Sunrise,303
10,30,17.100000,17,6,0.061,70.156,0.0,0.0,Sunset,303
10,31,7.000000,6,59,0.132,-69.633,0.0,0.0,Sunrise,304
10,31,17.066667,17,4,0.168,69.596,0.0,0.0,Sunset,304
11,1,7.016667,7,0,0.082,-69.236,0.0,0.0,Sunrise,305
11,1,17.050000,17,3,0.109,69.209,0.0,0.0,Sunset,305
11,2,7.033333,7,1,0.033,-68.845,0.0,0.0,Sunrise,306
11,2,17.033333,17,2,0.054,68.823,0.0,0.0,Sunset,306
11,3,7.066667,7,3,0.153,-68.287,0.0,0.0,Sunrise,307
11,3,17.016667,17,1,0.005,68.439,0.0,0.0,Sunset,307
11,4,7.083333,7,4,0.104,-67.908,0.0,0.0,Sunrise,308
11,4,16.983333,16,59,0.128,67.883,0.0,0.0,Sunset,308
11,5,7.100000,7,5,0.055,-67.534,0.0,0.0,Sunrise,309
11,5,16.966667,16,58,0.087,67.500,0.0,0.0,Sunset,309
11,6,7.116667,7,6,0.007,-67.166,0.0,0.0,Sunrise,310
11,6,16.950000,16,57,0.052,67.119,0.0,0.0,Sunset,310
11,7,7.150000,7,8,0.125,-66.631,0.0,0.0,Sunrise,311
11,7,16.933333,16,56,0.021,66.740,0.0,0.0,Sunset,311
11,8,7.166667,7,9,0.078,-66.276,0.0,0.0,Sunrise,312
11,8,16.900000,16,54,0.161,66.189,0.0,0.0,Sunset,312
11,9,7.183333,7,10,0.031,-65.926,0.0,0.0,Sunrise,313
11,9,16.883333,16,53,0.140,65.812,0.0,0.0,Sunset,313
11,10,7.216667,7,12,0.149,-65.409,0.0,0.0,Sunrise,314
11,10,16.866667,16,52,0.124,65.436,0.0,0.0,Sunset,314
11,11,7.233333,7,13,0.103,-65.072,0.0,0.0,Sunrise,315
11,11,16.850000,16,51,0.113,65.062,0.0,0.0,Sunset,315
11,12,7.250000,7,14,0.059,-64.740,0.0,0.0,Sunrise,316
11,12,16.833333,16,50,0.107,64.690,0.0,0.0,Sunset,316
11,13,7.266667,7,15,0.015,-64.415,0.0,0.0,Sunrise,317
11,13,16.816667,16,49,0.106,64.319,0.0,0.0,Sunset,317
11,14,7.300000,7,17,0.135,-63.923,0.0,0.0,Sunrise,318
11,14,16.800000,16,48,0.110,63.949,0.0,0.0,Sunset,318
11,15,7.316667,7,18,0.093,-63.610,0.0,0.0,Sunrise,319
11,15,16.783333,16,47,0.120,63.582,0.0,0.0,Sunset,319
11,16,7.333333,7,19,0.052,-63.304,0.0,0.0,Sunrise,320
11,16,16.766667,16,46,0.134,63.216,0.0,0.0,Sunset,320
11,17,7.350000,7,20,0.013,-63.003,0.0,0.0,Sunrise,321
11,17,16.750000,16,45,0.154,62.852,0.0,0.0,Sunset,321
11,18,7.383333,7,22,0.136,-62.536,0.0,0.0,Sunrise,322
11,18,16.750000,16,45,0.019,62.662,0.0,0.0,Sunset,322
11,19,7.400000,7,23,0.100,-62.249,0.0,0.0,Sunrise,323
11,19,16.733333,16,44,0.050,62.302,0.0,0.0,Sunset,323
11,20,7.416667,7,24,0.065,-61.967,0.0,0.0,Sunrise,324
11,20,16.716667,16,43,0.087,61.944,0.0,0.0,Sunset,324
11,21,7.433333,7,25,0.032,-61.692,0.0,0.0,Sunrise,325
11,21,16.700000,16,42,0.128,61.587,0.0,0.0,Sunset,325
11,22,7.450000,7,26,0.001,-61.423,0.0,0.0,Sunrise,326
11,22,16.700000,16,42,0.017,61.406,0.0,0.0,Sunset,326
11,23,7.483333,7,28,0.130,-60.988,0.0,0.0,Sunrise,327
11,23,16.683333,16,41,0.069,61.053,0.0,0.0,Sunset,327
11,24,7.500000,7,29,0.102,-60.731,0.0,0.0,Sunrise,328
11,24,16.666667,16,40,0.127,60.704,0.0,0.0,Sunset,328
11,25,7.516667,7,30,0.077,-60.481,0.0,0.0,Sunrise,329
11,25,16.666667,16,40,0.034,60.529,0.0,0.0,Sunset,329
11,26,7.533333,7,31,0.054,-60.237,0.0,0.0,Sunrise,330
11,26,16.650000,16,39,0.103,60.183,0.0,0.0,Sunset,330
11,27,7.550000,7,32,0.033,-59.999,0.0,0.0,Sunrise,331
11,27,16.650000,16,39,0.021,60.013,0.0,0.0,Sunset,331
11,28,7.566667,7,33,0.015,-59.768,0.0,0.0,Sunrise,332
11,28,16.633333,16,38,0.102,59.672,0.0,0.0,Sunset,332
11,29,7.600000,7,35,0.155,-59.370,0.0,0.0,Sunrise,333
11,29,16.633333,16,38,0.032,59.507,0.0,0.0,Sunset,333
11,30,7.616667,7,36,0.142,-59.151,0.0,0.0,Sunrise,334
11,30,16.616667,16,37,0.123,59.171,0.0,0.0,Sunset,334
12,1,7.633333,7,37,0.132,-58.937,0.0,0.0,Sunrise,335
12,1,16.616667,16,37,0.066,59.011,0.0,0.0,Sunset,335
12,2,7.650000,7,38,0.124,-58.730,0.0,0.0,Sunrise,336
12,2,16.616667,16,37,0.014,58.854,0.0,0.0,Sunset,336
12,3,7.666667,7,39,0.120,-58.529,0.0,0.0,Sunrise,337
12,3,16.600000,16,36,0.122,58.526,0.0,0.0,Sunset,337
12,4,7.683333,7,40,0.119,-58.334,0.0,0.0,Sunrise,338
12,4,16.600000,16,36,0.083,58.375,0.0,0.0,Sunset,338
12,5,7.700000,7,41,0.120,-58.145,0.0,0.0,Sunrise,339
12,5,16.600000,16,36,0.049,58.226,0.0,0.0,Sunset,339
12,6,7.716667,7,42,0.126,-57.962,0.0,0.0,Sunrise,340
12,6,16.600000,16,36,0.021,58.080,0.0,0.0,Sunset,340
12,7,7.733333,7,43,0.134,-57.784,0.0,0.0,Sunrise,341
12,7,16.583333,16,35,0.152,57.764,0.0,0.0,Sunset,341
12,8,7.750000,7,44,0.146,-57.612,0.0,0.0,Sunrise,342
12,8,16.583333,16,35,0.136,57.624,0.0,0.0,Sunset,342
12,9,7.750000,7,44,0.009,-57.619,0.0,0.0,Sunrise,343
12,9,16.583333,16,35,0.126,57.487,0.0,0.0,Sunset,343
12,10,7.766667,7,45,0.029,-57.459,0.0,0.0,Sunrise,344
12,10,16.583333,16,35,0.122,57.354,0.0,0.0,Sunset,344
12,11,7.783333,7,46,0.052,-57.304,0.0,0.0,Sunrise,345
12,11,16.583333,16,35,0.123,57.223,0.0,0.0,Sunset,345
12,12,7.800000,7,47,0.079,-57.155,0.0,0.0,Sunrise,346
12,12,16.583333,16,35,0.131,57.097,0.0,0.0,Sunset,346
12,13,7.816667,7,48,0.111,-57.011,0.0,0.0,Sunrise,347
